district,total_ntd,land_area,main_building_material,building_area,num_room,num_hall,num_toilet,transaction_year,transaction_month,building_age
Neihu District,18000000,25.33,Reinforced concrete construction,116.09,3,2,2,2019,10,1947
Wanhua District,7200000,25.43,Reinforced concrete construction,100.2,3,1,1,2019,9,1958
Datong District,4600000,21.25,Strengthen brickwork,65.96,3,1,1,2019,9,1956.125
Neihu District,19560000,24.15,Reinforced concrete construction,130.04,3,2,2,2019,10,1948
Zhongshan Area,13500000,24.5,Reinforced concrete construction,70.94,3,2,1,2019,10,1961
Xinyi District,11500000,21.09,Reinforced concrete construction,84.66,3,2,1,2019,10,1954
Songshan District,20200000,39.58,Reinforced concrete construction,125,3,2,2,2019,10,1944
shihlin,8360000,35.5,Strengthen brickwork,76.95,3,1,1,2019,9,1955
shihlin,13000000,23.2,Reinforced concrete construction,97.29,3,2,1,2019,10,1952
Beitou,14300000,32.54,Reinforced concrete construction,119.66,3,2,2,2019,10,1946
shihlin,21000000,29.96,Reinforced concrete construction,153.55,3,2,2,2019,10,1950
Wenshan District,21700000,36.5,Reinforced concrete construction,102.57,3,2,1,2019,10,1948
Daan District,20500000,24.3,Reinforced concrete construction,94.23,3,2,1,2019,10,1946.190476
Daan District,19680000,27.27,Reinforced concrete construction,87.24,3,2,1,2019,8,1947
shihlin,7920000,32.5,Reinforced concrete construction,87.75,3,2,1,2019,9,1957
Zhongshan Area,28400000,17.89,Reinforced concrete construction,127.06,3,2,2,2019,10,1949
Daan District,10000000,11.11,Reinforced concrete construction,73.61,3,2,2,2019,10,1936.9
Daan District,17000000,45,Reinforced concrete construction,104.46,3,2,2,2019,9,1960.071429
shihlin,14500000,35.66,Reinforced concrete construction,119.08,3,2,2,2019,9,1944
shihlin,21250000,28.37,Reinforced concrete construction,143.83,3,2,2,2019,10,1953
Beitou,8800000,33.75,Reinforced concrete construction,85.79,3,2,1,2019,9,1959
Xinyi District,16060000,28.17,Reinforced concrete construction,112.24,3,2,2,2019,9,1947
Songshan District,33000000,38,Reinforced concrete construction,188.21,3,2,2,2019,9,1942
Songshan District,25500000,15.13,Reinforced concrete construction,117.68,3,2,2,2019,10,1951
Nangang District,13000000,29.08,Reinforced concrete construction,102.1,3,2,2,2019,9,1945
Songshan District,20500000,37.75,Reinforced concrete construction,95.25,3,2,1,2019,9,1955.176471
Songshan District,7500000,36.75,Reinforced concrete construction,90.51,3,1,1,2019,10,1955.176471
Neihu District,11300000,36.18,Reinforced concrete construction,126.31,3,2,2,2019,10,1950
Wenshan District,12000000,27,Brickwork,95.17,3,2,2,2019,7,2019
Wenshan District,10880000,41.98,Reinforced concrete construction,103.15,3,2,2,2019,10,1956.9375
Wenshan District,11200000,19.45,Reinforced concrete construction,79.35,3,2,1,2019,10,1947
Wenshan District,10500000,29.29,Reinforced concrete construction,129.25,3,2,2,2019,10,1946
Neihu District,13000000,23.98,Reinforced concrete construction,86.74,3,2,1,2019,10,1950
Nangang District,13000000,39,Reinforced concrete construction,79.56,3,2,1,2019,10,1955.6
shihlin,18700000,51.11,Reinforced concrete construction,162.63,3,1,2,2019,11,1942
Zhongshan Area,20180000,40,Reinforced concrete construction,111.3,3,2,2,2019,10,1956
Neihu District,19100000,29.55,Reinforced concrete construction,113.57,3,2,2,2019,10,1952
shihlin,10200000,26.06,Reinforced concrete construction,101.59,3,2,2,2019,9,1950
shihlin,19100000,25.72,Reinforced concrete construction,91.99,3,2,2,2019,10,1951
Songshan District,17800000,35,Reinforced concrete construction,95.43,3,2,2,2019,10,1960
Xinyi District,14800000,32.6,Reinforced concrete construction,81.35,3,2,2,2019,9,1945.75
shihlin,8400000,35.01,Reinforced concrete construction,91.65,3,2,2,2019,10,1950
Zhongshan Area,9300000,27.2,Reinforced concrete construction,98.74,3,2,1,2019,9,1951
Zhongshan Area,225000,0.75,Reinforced concrete construction,2.54,3,2,2,2019,11,1949
Datong District,9380000,15.56,Reinforced concrete construction,50.03,3,1,1,2019,9,1952
Daan District,26000000,24.2,Reinforced concrete construction,124.67,3,2,2,2019,10,1944
shihlin,18080000,45,Reinforced concrete construction,152.16,3,2,2,2019,8,1953
Xinyi District,12000000,17.4,Reinforced concrete construction,60.12,3,2,1,2019,11,1945.75
Songshan District,19050000,23.74,Reinforced concrete construction,151.39,3,2,1,2019,10,1942
Xinyi District,10870000,26.25,Reinforced concrete construction,71.94,3,2,1,2019,10,1959
Nangang District,6000000,32.33,Reinforced concrete construction,69.55,3,1,1,2019,10,2019
Zhongshan Area,17600000,30.39,Reinforced concrete construction,107.57,3,2,2,2019,10,1944
Neihu District,13250000,34.1,Reinforced concrete construction,119.06,3,2,2,2019,10,1945
Neihu District,17000000,47.06,Reinforced concrete construction,115.93,3,2,2,2019,11,1947
Neihu District,31680000,18.08,See other registration items,132.5,3,2,2,2019,9,1920
Neihu District,17000000,32.04,Reinforced concrete construction,124.28,3,2,1,2019,10,1946
Datong District,3950000,25,Strengthen brickwork,84.21,3,1,2,2019,10,1956.125
Wanhua District,13950000,12.76,Reinforced concrete construction,124.97,3,2,2,2019,9,1947
Wenshan District,20200000,27.16,Reinforced concrete construction,128.1,3,2,2,2019,10,1918
Wenshan District,16000000,21.97,Reinforced concrete construction,87.8,3,2,2,2019,10,1931
Wanhua District,9680000,17.51,Reinforced concrete construction,63.09,3,1,1,2019,11,1939.833333
Neihu District,12770000,39.35,Reinforced concrete construction,88.37,3,2,1,2019,10,1949
Zhongshan Area,32500000,52.07,Reinforced concrete construction,136.36,3,3,2,2019,10,1953
Nangang District,29000000,23.62,Reinforced concrete construction,125.44,3,2,2,2019,10,1919
Nangang District,13500000,26.6,Reinforced concrete construction,94.94,3,1,2,2019,6,1943.285714
Beitou,13200000,23.64,Reinforced concrete construction,116.84,3,2,2,2019,11,1946
shihlin,27680000,27.07,Reinforced concrete construction,133.69,3,2,2,2019,11,1949
shihlin,12000000,10.05,Reinforced concrete construction,70.95,3,1,2,2019,11,1945
Daan District,25500000,39.5,Strengthen brickwork,111.17,3,2,2,2019,10,1961
Zhongshan Area,20800000,16.83,Reinforced concrete construction,92.51,3,2,1,2019,10,1947
Xinyi District,14100000,27.69,Reinforced concrete construction,53.83,3,2,2,2019,10,1945.75
Beitou,16800000,33.95,Reinforced concrete construction,130.73,3,1,2,2019,11,1949
Zhongshan Area,15200000,26.22,Reinforced concrete construction,99.06,3,2,2,2019,10,1946
Beitou,11750000,26.12,Reinforced concrete construction,85.25,3,2,1,2019,10,1951
shihlin,25700000,42.1,Reinforced concrete construction,157.85,3,2,2,2019,10,1949
shihlin,4700000,97.06,Reinforced concrete construction,103.75,3,2,2,2019,9,1954
Songshan District,32800000,22.02,Reinforced concrete construction,129.13,3,2,2,2019,11,1945
Xinyi District,13500000,22.4,Reinforced concrete construction,90.27,3,2,1,2019,11,1942
Songshan District,33000000,14.76,Reinforced concrete construction,160.53,3,2,2,2019,10,1947
Zhongshan Area,29080000,47.09,Reinforced concrete construction,155.53,3,2,2,2019,9,1930
Neihu District,12150000,24.72,Reinforced concrete construction,87.32,3,2,1,2019,10,1947
Zhongshan Area,18100000,34.75,Reinforced concrete construction,120.1,3,2,1,2019,10,1956
Wanhua District,7600000,24,Reinforced concrete construction,83.84,3,1,1,2019,10,1949
Zhongzheng District,23700000,21.71,Reinforced concrete construction,141.41,3,2,1,2019,9,1956
Wanhua District,8200000,16.14,Reinforced concrete construction,76.05,3,2,2,2019,11,1949
Xinyi District,19000000,18.14,Reinforced concrete construction,101.46,3,2,2,2019,10,1938
Songshan District,30880000,25.42,Reinforced concrete construction,132.82,3,2,2,2019,10,1950
Xinyi District,19200000,26.13,Reinforced concrete construction,127.6,3,2,2,2019,10,1934
Songshan District,31250000,67.5,Reinforced concrete construction,119.55,3,2,1,2019,10,1955.176471
Zhongshan Area,17660000,52.75,Reinforced concrete construction,159.63,3,2,2,2019,11,1956
Zhongshan Area,20300000,20.23,Reinforced concrete construction,107.8,3,2,2,2019,10,1942
Beitou,12380000,30.75,Reinforced concrete construction,92.93,3,2,2,2019,11,1956
Neihu District,14380000,27.8,Reinforced concrete construction,101.08,3,2,2,2019,10,1950
Daan District,29000000,46.25,Strengthen brickwork,128.48,3,2,2,2019,10,1961
shihlin,30280000,29.14,Reinforced concrete construction,197.82,3,2,1,2019,10,1929
shihlin,25000000,41.42,Reinforced concrete construction,156.64,3,2,2,2019,11,1946
Beitou,28230000,27.28,Reinforced concrete construction,139.75,3,2,2,2019,9,1913
Songshan District,27200000,28.72,Reinforced concrete construction,145.76,3,2,2,2019,10,1951
Zhongshan Area,27800000,27.67,Reinforced concrete construction,137.97,3,1,1,2019,10,1955
Neihu District,13660000,38.27,Reinforced concrete construction,105.13,3,2,1,2019,10,1945
Wenshan District,10800000,33.05,Reinforced concrete construction,94.3,3,2,1,2019,10,1942
Wenshan District,17270000,28.43,Reinforced concrete construction,111.97,3,2,2,2019,10,1931
Zhongshan Area,17180000,19.81,Reinforced concrete construction,106.36,3,2,2,2019,10,1945
Xinyi District,17700000,32,Reinforced concrete construction,90.93,3,2,1,2019,10,1959
Xinyi District,14500000,35.25,Reinforced concrete construction,104.88,3,2,1,2019,10,1956.675
Beitou,10160000,33.33,Strengthen brickwork,82.41,3,2,1,2019,11,1957
shihlin,10397000,36.13,Reinforced concrete construction,105.15,3,2,2,2019,11,1944
Daan District,29000000,32.8,Reinforced concrete construction,113.73,3,2,2,2019,8,1946
Daan District,19300000,33.37,Reinforced concrete construction,76.54,3,2,1,2019,10,1960.071429
Wenshan District,13820,0.03,Reinforced concrete construction,0.13,3,2,2,2019,11,1946
Datong District,16140000,30.2,Reinforced concrete construction,105.79,3,1,2,2019,10,1954
Daan District,33680000,27.15,Reinforced concrete construction,125.51,3,2,2,2019,10,1954
Beitou,5500000,9.4,Reinforced concrete construction,48.51,3,1,2,2019,10,1926
Xinyi District,17000000,27.38,Reinforced concrete construction,97.31,3,2,2,2019,10,1951
Neihu District,10800000,29.43,Reinforced concrete construction,102.1,3,2,1,2019,10,1949
shihlin,13680000,26.25,Strengthen brickwork,95.4,3,2,2,2019,10,1960
shihlin,15380000,54.73,Reinforced concrete construction,160.63,3,2,2,2019,10,1952
shihlin,11000000,19.75,Reinforced concrete construction,72.05,3,2,1,2019,11,1953
Xinyi District,12880000,32,Strengthen brickwork,77.84,3,2,1,2019,10,1956.675
Nangang District,18350000,42.2,Reinforced concrete construction,114.71,3,2,2,2019,11,1942
Neihu District,17380000,31.44,Reinforced concrete construction,118.67,3,2,2,2019,10,1948
Neihu District,16460000,39.17,Reinforced concrete construction,104.25,3,2,1,2019,10,1946
Wenshan District,11500000,29.72,Reinforced concrete construction,92.77,3,2,2,2019,10,1945.885714
Neihu District,12000000,31.66,Reinforced concrete construction,95.2,3,2,2,2019,10,1950
Xinyi District,5000000,11.88,Reinforced concrete construction,28.36,3,2,2,2019,11,1956
Beitou,5700000,29.37,Reinforced concrete construction,81.44,3,1,1,2019,10,1951
shihlin,17500000,38.5,Reinforced concrete construction,130.86,3,2,2,2019,11,1947
Daan District,18450000,29.2,Reinforced concrete construction,100.4,3,2,2,2019,11,1946.190476
Daan District,28300000,24.2,Reinforced concrete construction,124.67,3,2,2,2019,10,1944
Xinyi District,24000000,23.2,Reinforced concrete construction,129.79,3,2,2,2019,10,1949
Songshan District,19800000,31.25,Reinforced concrete construction,110.16,3,2,2,2019,10,1955.176471
shihlin,15800000,22.39,Reinforced concrete construction,121.28,3,2,2,2019,9,1953
Beitou,11100000,39.25,Reinforced concrete construction,120.62,3,2,2,2019,10,1955
Daan District,32000000,26.06,Reinforced concrete construction,135.96,3,2,2,2019,11,1953
Neihu District,15650000,27.8,Reinforced concrete construction,99.67,3,2,2,2019,9,1950
Datong District,12900000,30.25,Strengthen brickwork,92.24,3,2,3,2019,11,1960
Daan District,9000000,20.6,Reinforced concrete construction,71.41,3,2,2,2019,10,1947
shihlin,1500000,31.38,Reinforced concrete construction,34.31,3,2,2,2019,10,1954
shihlin,38800000,44.84,Reinforced concrete construction,123.74,3,1,2,2019,11,1950
Beitou,12580000,31.25,Reinforced concrete construction,87.02,3,2,2,2019,11,1956
Songshan District,18800000,30.2,Reinforced concrete construction,100.93,3,2,2,2019,10,1950
Xinyi District,11400000,31.2,Reinforced concrete construction,106.89,3,2,2,2019,10,1948
Songshan District,8540000,25.05,Reinforced concrete construction,123.72,3,2,2,2019,10,1953
Neihu District,11500000,32.25,Reinforced concrete construction,90.81,3,2,1,2019,10,1952
Wenshan District,15000000,23.37,Reinforced concrete construction,102.8,3,2,2,2019,11,1916
Wenshan District,17000000,35,Reinforced concrete construction,96.41,3,2,2,2019,10,2019
Wanhua District,18500000,29.46,Reinforced concrete construction,149.99,3,2,2,2019,10,1941
Neihu District,13000000,45.49,Reinforced concrete construction,123.24,3,2,2,2019,8,1941
Xinyi District,21800000,35.5,Reinforced concrete construction,109.08,3,2,2,2019,11,1956
Nangang District,11000000,26.45,Reinforced concrete construction,95.7,3,2,1,2019,11,1955.6
Songshan District,27080000,25.22,Reinforced concrete construction,133.69,3,2,2,2019,11,1949
shihlin,16300000,45.75,Reinforced concrete construction,117.06,3,2,1,2019,10,1957
shihlin,7500000,38.78,Reinforced concrete construction,93.47,3,2,2,2019,11,1949
Neihu District,10600000,30.31,Reinforced concrete construction,86.74,3,2,1,2019,10,1951
shihlin,27000000,34.08,Reinforced concrete construction,146.55,3,2,2,2019,9,1940
Xinyi District,23300000,21.52,Reinforced concrete construction,106.79,3,2,2,2019,10,1938.125
Neihu District,13560000,35.58,Reinforced concrete construction,102.13,3,2,2,2019,10,1943
Wenshan District,14100000,27.25,Reinforced concrete construction,94.5,3,2,2,2019,11,1956.9375
Daan District,25750000,28.85,Reinforced concrete construction,110.73,3,2,2,2019,11,1946.190476
shihlin,27600000,27.04,Reinforced concrete construction,128.56,3,2,2,2019,10,1936
shihlin,25000000,50,Reinforced concrete construction,132.95,3,2,2,2019,11,1950
Beitou,9400000,29.16,Reinforced concrete construction,102.58,3,2,2,2019,9,1943
Songshan District,18800000,36.12,Reinforced concrete construction,99.98,3,2,1,2019,10,1955.176471
Songshan District,27680000,43.5,Reinforced concrete construction,108.51,3,2,2,2019,11,1955.176471
Neihu District,12380000,26.26,Reinforced concrete construction,86.85,3,2,1,2019,10,1947
Neihu District,7560000,24.57,Reinforced concrete construction,81.92,3,2,1,2019,6,1946
Wenshan District,3800000,18.5,Reinforced concrete construction,46.86,3,2,2,2019,11,1956.9375
Wanhua District,8700000,14.55,Reinforced concrete construction,90.61,3,1,1,2019,11,1950
Zhongshan Area,10000000,29.5,Reinforced concrete construction,80.34,3,1,1,2019,11,1958
Neihu District,14980000,29.7,Reinforced concrete construction,109.22,3,2,2,2019,11,1946
Neihu District,10000000,23.93,Reinforced concrete construction,109.24,3,2,1,2019,10,1947
Xinyi District,26089800,10.74,Reinforced concrete construction,80.66,3,2,2,2019,10,1940.625
Xinyi District,8850000,29.25,Reinforced concrete construction,84.47,3,2,1,2019,11,1956.675
Beitou,11400000,14.92,Reinforced concrete construction,107.35,3,2,2,2019,11,1949
shihlin,21880000,43.1,Reinforced concrete construction,124.47,3,2,2,2019,9,1947
Beitou,9900000,9.67,Reinforced concrete construction,81.76,3,1,1,2019,11,1932
Daan District,22000000,11.08,Reinforced concrete construction,77.63,3,2,2,2019,9,1940.777778
Daan District,16900000,29.5,Reinforced concrete construction,111.49,3,2,3,2019,11,1945
Daan District,22280000,19.39,Reinforced concrete construction,101.3,3,2,1,2019,10,1945
Wenshan District,2000000,8.15,Reinforced concrete construction,19.68,3,1,2,2019,11,1956.9375
Zhongzheng District,26500000,18.92,Reinforced concrete construction,103.67,3,2,2,2019,11,1947
Xinyi District,15000000,28.33,Reinforced concrete construction,107.52,3,2,2,2019,11,1943
Beitou,14500000,33.53,Reinforced concrete construction,118.22,3,2,2,2019,11,1950
Daan District,11130000,5.97,Reinforced concrete construction,40.23,3,2,2,2019,11,1937
shihlin,26080000,35.34,Reinforced concrete construction,165.63,3,2,2,2019,10,1944
Songshan District,18600000,31.5,Reinforced concrete construction,94.97,3,2,2,2019,11,1956
Songshan District,23260000,21.38,Reinforced concrete construction,109.8,3,2,2,2019,10,1952
Xinyi District,14000000,28.14,Reinforced concrete construction,108.88,3,2,2,2019,10,1945
Neihu District,18230000,48.27,Reinforced concrete construction,128.06,3,2,2,2019,11,1932
Wenshan District,13000000,32.25,Reinforced concrete construction,94,3,2,1,2019,11,1958
Daan District,16680000,16.5,Reinforced concrete construction,68.06,3,1,1,2019,10,1965
Daan District,30500000,11.36,Reinforced concrete construction,104.27,3,2,2,2019,10,1950
Daan District,21660000,19.94,Reinforced concrete construction,103.1,3,2,1,2019,10,1945
shihlin,10201960,36.75,Reinforced concrete construction,134.2,3,2,2,2019,11,1949
shihlin,22300000,17.59,Reinforced concrete construction,134,3,2,2,2019,11,1942
Songshan District,14500000,27.62,Reinforced concrete construction,90.47,3,2,1,2019,11,1955
Songshan District,19500000,25.5,Reinforced concrete construction,90.95,3,2,2,2019,11,1951
Zhongshan Area,16300000,29.1,Reinforced concrete construction,103.72,3,2,2,2019,10,1949
Neihu District,10500000,31.19,Reinforced concrete construction,84.47,3,2,2,2019,11,1953
Wenshan District,10750000,23.37,Reinforced concrete construction,82.62,3,2,2,2019,11,1950
Datong District,20380000,33.12,Reinforced concrete construction,146.71,3,2,2,2019,10,1931
Neihu District,10000000,28.65,Reinforced concrete construction,112.02,3,2,3,2019,11,1949
Neihu District,16700000,34.58,Reinforced concrete construction,104.34,3,2,1,2019,10,1946
Zhongshan Area,16650000,31,Reinforced concrete construction,109.98,3,2,2,2019,11,1951
Xinyi District,22000000,22.47,Reinforced concrete construction,122.26,3,1,1,2019,10,1938.125
Songshan District,26000000,15.57,Reinforced concrete construction,123.3,3,2,2,2019,11,1951
Xinyi District,17540000,43.25,Reinforced concrete construction,115.97,3,2,2,2019,11,1955
Nangang District,9650000,29.56,Reinforced concrete construction,100.69,3,2,2,2019,10,1943.285714
shihlin,20000000,66.84,Reinforced concrete construction,172.33,3,2,2,2019,11,1921
shihlin,20800000,28.26,Reinforced concrete construction,111.59,3,2,2,2019,11,1946
Beitou,4230000,32.75,Reinforced concrete construction,90.29,3,1,1,2019,12,1952
Beitou,16880000,49.25,Reinforced concrete construction,150.36,3,2,2,2019,10,1933
Daan District,22000000,17.69,Reinforced concrete construction,118.05,3,2,2,2019,11,1944
Neihu District,12500000,31.51,Reinforced concrete construction,113.86,3,2,2,2019,11,1947
Songshan District,17430000,40.75,Reinforced concrete construction,107.2,3,2,2,2019,11,1948
Beitou,10800000,25.44,Reinforced concrete construction,84.14,3,2,2,2019,8,1950
Daan District,29000000,11.4,Reinforced concrete construction,105.8,3,2,2,2019,10,1945
Songshan District,13100000,32.62,Reinforced concrete construction,88.12,3,2,1,2019,11,1956
Xinyi District,21000000,34.25,Reinforced concrete construction,97.6,3,2,2,2019,11,1956
shihlin,25000000,27.55,Reinforced concrete construction,130.76,3,2,1,2019,10,1944
Beitou,15000000,38.87,Reinforced concrete construction,115.53,3,2,2,2019,10,1954
Songshan District,38800000,46.95,Reinforced concrete construction,224.76,3,2,2,2019,10,1926
Neihu District,12300000,27.38,Reinforced concrete construction,94.69,3,2,2,2019,11,1950
Neihu District,13600000,32.06,Reinforced concrete construction,113.97,3,2,2,2019,10,1944
Neihu District,13200000,25.4,Reinforced concrete construction,104.84,3,2,2,2019,11,1947
Neihu District,13380000,29.73,Reinforced concrete construction,92.19,3,2,2,2019,11,1950
Zhongzheng District,27980000,24.02,Reinforced concrete construction,116.32,3,2,2,2019,10,1943
Zhongshan Area,10000000,31.95,Reinforced concrete construction,110.08,3,2,2,2019,11,1950
Songshan District,17000000,36.08,Reinforced concrete construction,99.22,3,2,2,2019,10,1948
Daan District,32500000,38.6,Reinforced concrete construction,114.47,3,2,1,2019,9,1940
Xinyi District,13500000,21.2,Reinforced concrete construction,81.24,3,2,1,2019,11,1941
Xinyi District,6870000,17.18,Reinforced concrete construction,53.28,3,2,2,2019,11,1949
Neihu District,12250000,23.72,Reinforced concrete construction,76.73,3,2,2,2019,11,1947
Daan District,19480000,34.77,Reinforced concrete construction,117.9,3,2,2,2019,11,1948
Beitou,13560000,29.25,Reinforced concrete construction,98.91,3,2,2,2019,11,1946
Songshan District,21850000,16.46,Reinforced concrete construction,99.09,3,2,1,2019,11,1944.609756
Xinyi District,20880000,19.11,Reinforced concrete construction,100.42,3,2,2,2019,11,1948
Neihu District,14000000,26.27,Reinforced concrete construction,94.69,3,2,2,2019,9,1946
Neihu District,14680000,31.04,Reinforced concrete construction,102.03,3,2,1,2019,11,1937
Datong District,17000000,16.49,Reinforced concrete construction,141.88,3,2,2,2019,10,2019
Wenshan District,14300000,30.32,Reinforced concrete construction,109.14,3,2,2,2019,11,1947
Wenshan District,8500000,17.51,Reinforced concrete construction,89.04,3,2,2,2019,10,1947
Wenshan District,5730000,15.3,Reinforced concrete construction,53.59,3,2,2,2019,11,1949
Wanhua District,10700000,34.85,Reinforced concrete construction,120.38,3,2,2,2019,11,1949
Zhongshan Area,13000000,13.52,Reinforced concrete construction,82.27,3,2,2,2019,10,1954
Neihu District,18300000,20.88,Reinforced concrete construction,111.77,3,2,2,2019,12,1944
Neihu District,12670000,28.63,Reinforced concrete construction,99.74,3,2,2,2019,11,1944
Neihu District,9500000,24.77,Reinforced concrete construction,80.3,3,2,1,2019,11,1951
Neihu District,18150000,33.23,Reinforced concrete construction,119.88,3,2,2,2019,11,1935
Songshan District,16000000,27,Reinforced concrete construction,76.01,3,2,2,2019,11,1956
Nangang District,10800000,43.93,Reinforced concrete construction,105.1,3,2,2,2019,11,1955.6
Songshan District,56700000,21.96,Reinforced concrete construction,178.5,3,2,2,2019,11,1944
Beitou,13900000,12.89,Reinforced concrete construction,109.39,3,1,2,2019,11,1932
Zhongzheng District,24500000,27.68,Reinforced concrete construction,96.19,3,2,2,2019,11,1944.583333
Neihu District,12000000,24.16,Reinforced concrete construction,79.6,3,2,1,2019,11,1948
Xinyi District,31900000,21.81,Reinforced concrete construction,119.85,3,2,2,2019,11,1945
Beitou,10500000,48.5,Reinforced concrete construction,90.67,3,1,1,2019,11,1957
Wenshan District,8880000,27.01,Reinforced concrete construction,80.03,3,2,1,2019,12,1947
shihlin,23500000,22.48,Reinforced concrete construction,124.9,3,2,2,2019,11,1944
Xinyi District,4000000,13.19,Reinforced concrete construction,61.99,3,2,2,2019,11,1945
Xinyi District,48500000,89,Strengthen brickwork,143.02,3,3,3,2019,11,1963
Xinyi District,12350000,20,Reinforced concrete construction,77.43,3,2,1,2019,11,1953
Songshan District,17560000,38.25,Reinforced concrete construction,96.52,3,2,1,2019,11,1955.176471
Nangang District,27000000,27.81,Reinforced concrete construction,134.49,3,2,2,2019,10,1922
Xinyi District,23000000,28,Reinforced concrete construction,85.07,3,2,1,2019,11,1955.666667
Xinyi District,15950000,27.36,Reinforced concrete construction,116.54,3,2,2,2019,11,1944
Neihu District,12600000,42.88,Reinforced concrete construction,105.52,3,1,2,2019,11,1949
Neihu District,9000000,34.75,Reinforced concrete construction,84.57,3,1,1,2019,10,1953
Zhongshan Area,13500000,25.5,Strengthen brickwork,86.92,3,2,1,2019,11,1962
Wanhua District,23700000,11.55,Reinforced concrete construction,133.15,3,2,2,2019,11,1922
Wanhua District,15000000,35.9,Reinforced concrete construction,127.84,3,1,2,2019,10,1947
Wenshan District,17000000,33.32,Reinforced concrete construction,119.63,3,1,2,2019,11,1935
Wenshan District,9060000,28.07,Reinforced concrete construction,98.5,3,2,1,2019,11,1950
Zhongzheng District,28000000,64.75,Reinforced concrete construction,164.8,3,2,2,2019,12,1957.272727
Wenshan District,22000000,40.29,Reinforced concrete construction,118.01,3,2,2,2019,10,1940
Datong District,14300000,27.5,Reinforced concrete construction,92.11,3,2,2,2019,10,1953
Neihu District,16500000,33.26,Reinforced concrete construction,128.78,3,2,2,2019,11,1949
Zhongshan Area,19200000,8.08,Reinforced concrete construction,103.03,3,2,2,2019,11,1947
Wanhua District,16000000,61,Strengthen brickwork,81.42,3,2,3,2019,10,2019
Songshan District,20380000,44.7,Reinforced concrete construction,121.14,3,2,2,2019,11,1955
Xinyi District,14580000,27.05,Reinforced concrete construction,105.54,3,2,2,2019,10,1943
Beitou,17000000,50,Strengthen brickwork,97.81,3,2,1,2019,10,1959
shihlin,26500000,30.07,Reinforced concrete construction,158.02,3,2,2,2019,10,1946
shihlin,16140000,16.62,Reinforced concrete construction,86.3,3,2,1,2019,11,1944
shihlin,35640000,42.99,Reinforced concrete construction,153.64,3,2,2,2019,11,1919
Daan District,25980000,44.75,Reinforced concrete construction,108.58,3,2,1,2019,11,1960.071429
Daan District,21960000,37.25,Strengthen brickwork,98.34,3,2,2,2019,9,1964
Wenshan District,9210000,26,Reinforced concrete construction,87.27,3,2,1,2019,11,1956.9375
shihlin,17900000,31.72,Reinforced concrete construction,120.07,3,2,2,2019,11,1944
Daan District,11560000,18.2,Reinforced concrete construction,65.76,3,2,1,2019,11,1947
Wenshan District,12350000,24.54,Reinforced concrete construction,90.75,3,2,2,2019,11,1945.885714
shihlin,22800000,24.82,Reinforced concrete construction,115.54,3,2,2,2019,12,1945
Songshan District,30000000,26.36,Reinforced concrete construction,138.86,3,2,2,2019,10,1952
Xinyi District,20000000,41,Reinforced concrete construction,150.84,3,2,2,2019,12,1952
Neihu District,17620000,28.91,Reinforced concrete construction,110.88,3,2,2,2019,11,1936
Wanhua District,3600000,17.2,Reinforced concrete construction,112.6,3,2,2,2019,11,1949
Neihu District,45050000,113.11,Reinforced concrete construction,283.98,3,2,3,2019,11,1925
Zhongshan Area,26300000,24.56,Reinforced concrete construction,139.18,3,2,1,2019,10,1953
Neihu District,23030000,28,Reinforced concrete construction,130.53,3,2,2,2019,11,1924
Neihu District,18800000,35.61,Reinforced concrete construction,127.8,3,2,2,2019,11,1946
Xinyi District,11000000,25.75,Reinforced concrete construction,63.9,3,2,1,2019,10,1956.675
Xinyi District,14500000,8.2,Reinforced concrete construction,72.92,3,2,2,2019,11,1938
Beitou,17800000,37.75,Reinforced concrete construction,95.61,3,2,2,2019,12,1954
shihlin,22880000,24.15,Reinforced concrete construction,114.9,3,2,2,2019,11,1945
shihlin,10000000,35.95,Reinforced concrete construction,116.36,3,2,2,2019,2,1950
shihlin,17500000,23.96,Reinforced concrete construction,109.03,3,2,2,2019,11,1945
shihlin,16000000,29.2,Reinforced concrete construction,106.42,3,2,2,2019,11,1952
Daan District,15000000,23.4,Reinforced concrete construction,92.95,3,2,1,2019,10,1946.190476
shihlin,17600000,36,Reinforced concrete construction,127.68,3,2,2,2019,11,1951
Daan District,18000000,30.25,Reinforced concrete construction,81.04,3,1,1,2019,12,1960.071429
shihlin,26000000,29.2,Reinforced concrete construction,135.11,3,2,2,2019,11,1943
Daan District,10000000,8.37,Reinforced concrete construction,39.84,3,2,2,2019,12,1936.9
Daan District,27000000,25.01,Reinforced concrete construction,120.17,3,2,2,2019,10,1945
Daan District,16680000,37.25,Reinforced concrete construction,105.52,3,2,2,2019,10,1960.071429
Xinyi District,21500000,20.27,Reinforced concrete construction,101.77,3,2,2,2019,11,1946
Songshan District,19280000,30.4,Reinforced concrete construction,103.46,3,2,2,2019,10,1949.318182
Songshan District,11600000,30.75,Reinforced concrete construction,103.46,3,2,2,2019,11,1955
Zhongshan Area,23800000,20.88,Reinforced concrete construction,78.4,3,2,1,2019,10,1915
Zhongshan Area,16000000,23.4,Reinforced concrete construction,97.08,3,2,2,2019,11,1948
Zhongshan Area,20000000,13.11,Reinforced concrete construction,111.1,3,2,2,2019,12,1945
Neihu District,10000000,21.66,Reinforced concrete construction,80.22,3,2,1,2019,11,1947
